"MSSubClass.120","MSSubClass.20","MSSubClass.50","MSSubClass.60","MSZoning.RL","MSZoning.RM","LotFrontage","LotArea","Alley.None","LotShape.IR1","LotShape.Reg","LandContour.Lvl","LotConfig.Corner","LotConfig.CulDSac","LotConfig.Inside","LandSlope.Gtl","Neighborhood.CollgCr","Neighborhood.Edwards","Neighborhood.Gilbert","Neighborhood.NAmes","Neighborhood.NridgHt","Neighborhood.NWAmes","Neighborhood.OldTown","Neighborhood.Sawyer","Neighborhood.Somerst","Condition1.Feedr","Condition1.Norm","BldgType.1Fam","BldgType.TwnhsE","HouseStyle.1.5Fin","HouseStyle.1Story","HouseStyle.2Story","OverallQual","OverallCond","YearRemodAdd","RoofStyle.Gable","RoofStyle.Hip","Exterior1st.HdBoard","Exterior1st.MetalSd","Exterior1st.Plywood","Exterior1st.VinylSd","Exterior1st.Wd Sdng","Exterior2nd.HdBoard","Exterior2nd.MetalSd","Exterior2nd.Plywood","Exterior2nd.VinylSd","Exterior2nd.Wd Sdng","MasVnrType.BrkFace","MasVnrType.None","MasVnrType.Stone","MasVnrArea","ExterQual.Gd","ExterQual.TA","ExterCond.Gd","ExterCond.TA","Foundation.BrkTil","Foundation.CBlock","Foundation.PConc","BsmtQual.Ex","BsmtQual.Gd","BsmtQual.TA","BsmtCond.TA","BsmtExposure.Av","BsmtExposure.Gd","BsmtExposure.Mn","BsmtExposure.No","BsmtFinType1.ALQ","BsmtFinType1.BLQ","BsmtFinType1.GLQ","BsmtFinType1.LwQ","BsmtFinType1.Rec","BsmtFinType1.Unf","BsmtFinSF1","BsmtFinType2.Unf","BsmtUnfSF","TotalBsmtSF","HeatingQC.Ex","HeatingQC.Gd","HeatingQC.TA","CentralAir.N","CentralAir.Y","Electrical.FuseA","Electrical.SBrkr","X1stFlrSF","X2ndFlrSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenQual.Ex","KitchenQual.Gd","KitchenQual.TA","TotRmsAbvGrd","Functional.Typ","Fireplaces","FireplaceQu.Gd","FireplaceQu.None","FireplaceQu.TA","GarageType.Attchd","GarageType.BuiltIn","GarageType.Detchd","GarageType.None","GarageYrBlt.None","GarageFinish.Fin","GarageFinish.None","GarageFinish.RFn","GarageFinish.Unf","GarageCars","GarageArea","GarageQual.None","GarageQual.TA","GarageCond.None","GarageCond.TA","PavedDrive.N","PavedDrive.Y","WoodDeckSF","OpenPorchSF","Fence.MnPrv","Fence.None","MoSold","YrSold.2006","YrSold.2007","YrSold.2008","YrSold.2009","YrSold.2010","SaleType.New","SaleType.WD","SaleCondition.Abnorml","SaleCondition.Normal","SaleCondition.Partial","SalePrice","num_none","garage_exist.FALSE","garage_exist.TRUE","masVnrArea_exist.FALSE","masVnrArea_exist.TRUE","cluster.2","cluster.3","cluster.4","cluster.5","cluster_dist","LotArea_log","GrLivArea_log"
0,0,0,1,1,0,65,8450,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,7,5,2003,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,196,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,706,1,150,856,1,0,0,0,1,0,1,856,854,1710,1,0,2,1,3,0,1,0,8,1,0,0,1,0,1,0,0,0,0,0,0,1,0,2,548,0,1,0,1,0,1,0,61,0,1,2,0,0,1,0,0,0,1,0,1,0,12.247694320221,5,0,1,0,1,0,0,1,0,1.03961650881728,9.04192172035122,7.44424864949671
0,1,0,0,1,0,80,9600,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,6,8,1976,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,978,1,284,1262,1,0,0,0,1,0,1,1262,0,1262,0,1,2,0,3,0,0,1,6,1,1,0,0,1,1,0,0,0,0,0,0,1,0,2,460,0,1,0,1,0,1,298,0,0,1,5,0,1,0,0,0,0,1,0,1,0,12.109010932687,5,0,1,1,0,0,0,1,0,0.452358177961701,9.16951837745593,7.14045304310116
0,0,0,1,1,0,68,11250,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,7,5,2002,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,162,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,486,1,434,920,1,0,0,0,1,0,1,920,866,1786,1,0,2,1,3,0,1,0,6,1,1,0,0,1,1,0,0,0,0,0,0,1,0,2,608,0,1,0,1,0,1,0,42,0,1,9,0,0,1,0,0,0,1,0,1,0,12.3171666930358,4,0,1,0,1,0,1,0,0,0.687471397707063,9.32812340763257,7.48773376143644
0,0,0,0,1,0,60,9550,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,7,5,1970,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,216,1,540,756,0,1,0,0,1,0,1,961,756,1717,1,0,1,0,3,0,1,0,7,1,1,1,0,0,0,0,1,0,0,0,0,0,1,3,642,0,1,0,1,0,1,0,35,0,1,2,1,0,0,0,0,0,1,1,0,0,11.8493977015914,5,0,1,1,0,0,0,1,0,0.956484217869114,9.16429643347478,7.44833386089748
0,0,0,1,1,0,84,14260,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,8,5,2000,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,350,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,655,1,490,1145,1,0,0,0,1,0,1,1145,1053,2198,1,0,2,1,4,0,1,0,9,1,1,0,0,1,1,0,0,0,0,0,0,1,0,3,836,0,1,0,1,0,1,192,84,0,1,12,0,0,1,0,0,0,1,0,1,0,12.4292161968444,4,0,1,0,1,0,0,0,1,1.37623991717203,9.56521369396829,7.69530313496357
0,0,1,0,1,0,85,14115,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,5,5,1995,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,732,1,64,796,1,0,0,0,1,0,1,796,566,1362,1,0,1,1,1,0,0,1,5,1,0,0,1,0,1,0,0,0,0,0,0,0,1,2,480,0,1,0,1,0,1,40,30,1,0,10,0,0,0,1,0,0,1,0,1,0,11.870599909242,4,0,1,1,0,0,0,1,0,0.72104375175248,9.55499334068759,7.21670948670946
0,1,0,0,1,0,75,10084,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,8,5,2005,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,186,1,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1369,1,317,1686,1,0,0,0,1,0,1,1694,0,1694,1,0,2,0,3,0,1,0,7,1,1,1,0,0,1,0,0,0,0,0,0,1,0,2,636,0,1,0,1,0,1,255,57,0,1,8,0,1,0,0,0,0,1,0,1,0,12.6346030265693,4,0,1,0,1,0,1,0,0,0.918200461687592,9.21870528830781,7.434847875212
0,0,0,1,1,0,-1,10382,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,7,6,1973,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,240,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,859,0,216,1107,1,0,0,0,1,0,1,1107,983,2090,1,0,2,1,3,0,0,1,7,1,2,0,0,1,1,0,0,0,0,0,0,1,0,2,484,0,1,0,1,0,1,235,204,0,1,11,0,0,0,1,0,0,1,0,1,0,12.2060726455302,3,0,1,0,1,0,1,0,0,1.13363854216009,9.24782881638717,7.64491934495886
0,0,1,0,0,1,51,6120,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,7,5,1950,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,952,952,0,1,0,0,1,0,0,1022,752,1774,0,0,2,0,2,0,0,1,8,0,2,0,0,1,0,0,1,0,0,0,0,0,1,2,468,0,0,0,1,0,1,90,0,0,1,4,0,0,1,0,0,0,1,1,0,0,11.7745202026587,5,0,1,1,0,0,0,1,0,0.924859498761624,8.71931737550637,7.48099216286952
0,0,0,0,1,0,50,7420,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,1950,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,851,1,140,991,1,0,0,0,1,0,1,1077,0,1077,1,0,1,0,2,0,0,1,5,1,2,0,0,1,1,0,0,0,0,0,0,1,0,1,205,0,0,0,1,0,1,0,4,0,1,1,0,0,1,0,0,0,1,0,1,0,11.6784399034478,5,0,1,1,0,1,0,0,0,0.273384489809273,8.91193433616143,6.98193467715639
0,1,0,0,1,0,70,11200,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,5,5,1965,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,906,1,134,1040,1,0,0,0,1,0,1,1040,0,1040,1,0,1,0,3,0,0,1,5,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,384,0,1,0,1,0,1,0,0,0,1,2,0,0,1,0,0,0,1,0,1,0,11.7714361601217,6,0,1,1,0,1,0,0,0,0.850606244830097,9.32366905728319,6.94697599213542
